linea,estacion,direccion,comuna,este,norte,longitud,latitud
L5,BELLAVISTA DE LA FLORIDA,Av. Vicuña Mackenna Costado De 165,LA FLORIDA,351471.2777,6289869.1039,-70.5993483297,-33.5204449009
L5,VICENTE VALDES L5,Av. Vicuña Mackenna 7897,LA FLORIDA,351723.0,6289194.0,-70.596748,-33.526559
L6,CERRILLOS,Martín De Solier 4598,CERRILLOS,342697.0,6293845.0,-70.693665,-33.483631
L6,LO VALLEDOR,Av. Carlos Valdovinos 3346,PEDRO AGUIRRE CERDA,343935.0,6294422.0,-70.680244,-33.478607
L6,PEDRO AGUIRRE CERDA,Av. Carlos Valdovinos 2223,PEDRO AGUIRRE CERDA,345351.0,6294460.0,-70.665001,-33.47847
L6,FRANKLIN L6,Nataniel Cox 2370,SANTIAGO,346808.0,6294730.0,-70.649277,-33.47625
L6,BIO BIO,Av. Santa Rosa 2374,SAN JOAQUIN,347504.0,6294677.0,-70.6418,-33.476822
L6,ÑUBLE L6,Carlos Dittborn 733,ÑUÑOA,349121.0,6295754.0,-70.624222,-33.46735
L6,ESTADIO NACIONAL,Av. Grecia 2298,ÑUÑOA,350702.0,6296373.0,-70.607109,-33.46199
L6,ÑUÑOA L6,Av. Irarrázaval 2461,ÑUÑOA,350837.0,6297230.0,-70.605515,-33.454277
L6,INES DE SUAREZ,Av. Pedro De Valdivia 1664,PROVIDENCIA,350634.0,6299031.0,-70.607399,-33.438011
L6,LOS LEONES L6,Las Bellotas 200,PROVIDENCIA,350554.0,6300779.0,-70.607971,-33.422237
